"Statistic","Month","Residency","UNIT","Fare","Prepayments","Accommodation","Day-to-Day Expenditure","All Travel Expenditure"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Euro Million","28.3","1.9","27.9","57.8","116"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Euro Million","30.7","3.3","56.7","72.9","163.6"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Euro Million","55.8","5.7","51.8","65.6","178.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Euro Million","8.2","1.1","9.9","16","35.2"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Euro Million","123.1","12.1","146.3","212.3","493.8"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Euro Million","28.8","3.2","35.5","56.5","123.9"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Euro Million","41.3","4","91","92.1","228.4"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Euro Million","72","9.9","86.3","71","239.2"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Euro Million","8.8","0.9","9.4","17.7","36.8"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Euro Million","150.9","17.9","222.2","237.3","628.3"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Euro Million","37.5","5.9","44.8","67.8","156"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Euro Million","42.5","4.2","77.6","96.8","221.1"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Euro Million","145.6","14.9","132.8","115.8","409.1"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Euro Million","14.6","0.8","14.4","25.1","54.9"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Euro Million","240.2","25.8","269.7","305.6","841.2"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Euro Million","41.1","3.2","41.3","85.8","171.3"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Euro Million","48.1","8","90.7","106","252.8"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Euro Million","144","14.4","124.7","97.2","380.2"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Euro Million","20.9","2","15.3","32.9","71.1"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Euro Million","254.1","27.6","272","321.7","875.4"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Euro Million","44.2","4.7","44.3","83.4","176.6"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Euro Million","60.7","15.9","131.4","155.9","363.9"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Euro Million","138.2","19.5","126.1","91.7","375.6"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Euro Million","19.7","5.4","13.7","41.2","80"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Euro Million","262.9","45.6","315.5","372.2","996.1"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Euro Million","35.7","4.6","50.5","68.7","159.5"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Euro Million","39.1","6.8","88.2","88.3","222.5"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Euro Million","103","18.7","118.4","88.8","328.9"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Euro Million","22.2","3.5","25.1","38.3","89.2"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Euro Million","200.1","33.6","282.2","284.2","800.1"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Euro Million","28","4.2","37","52.9","122.1"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Euro Million","36.5","5.4","69.4","75.9","187.2"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Euro Million","99.8","18.2","107.4","87.9","313.4"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Euro Million","15","2","24.2","31.2","72.5"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Euro Million","179.3","29.8","238.1","247.9","695.1"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Euro Million","24.2","2.4","28.9","47.8","103.3"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Euro Million","27.4","2.9","51.5","61.6","143.4"
"Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","Euro Million","43.8","6.4","47.4","49.5","147.1"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","Euro Million","11.9","0.5","12","22.9","47.3"
"Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","Euro Million","107.3","12.3","139.7","181.8","441.1"
"Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Euro Million","25.8","1.3","28.2","52.5","107.7"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","Euro Million","28.2","5.1","87.3","89.4","209.9"
"Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","Euro Million","34.3","5.8","41.4","39.9","121.4"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","Euro Million","13.3","23","16.2","22.9","75.4"
"Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","Euro Million","101.6","35.1","173.2","204.6","514.5"
"Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Euro Million","24.8","1.8","23.3","58.4","108.4"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","Euro Million","26.4","2.1","33.8","69.6","132"
"Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","Euro Million","32.1","6.1","18.5","38","94.7"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","Euro Million","33.7","0.6","11.3","33.5","79.1"
"Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","Euro Million","117.1","10.6","86.9","199.5","414.1"
"Expenditure of Overnight Foreign Visitors","2024 February","Great Britain (England, Scotland & Wales)","Euro Million","26","3","36.2","48.6","113.8"
"Expenditure of Overnight Foreign Visitors","2024 February","Other Europe (3)","Euro Million","25.2","2","41.7","60","128.9"
"Expenditure of Overnight Foreign Visitors","2024 February","USA & Canada","Euro Million","28.8","2.4","23.6","32.1","86.9"
"Expenditure of Overnight Foreign Visitors","2024 February","Other Residencies","Euro Million","10.6","0.4","12.9","20.9","44.8"
"Expenditure of Overnight Foreign Visitors","2024 February","All Residencies","Euro Million","90.7","7.8","114.3","161.6","374.4"
