"STATISTIC","Statistic","TLIST(M1)","Month","UNIT","Hotel/conference centre","Guest house/bed & breakfast","Friends/relatives/own property","Self catering/rented house","Other private tourism accommodation n.e.c.","All types of accommodation"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2023M04","2023 April","Thousand","181.8","15.4","220.3","26.3","18.1","461.9"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2023M05","2023 May","Thousand","234","25.6","241.7","31.2","40.8","573.3"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2023M06","2023 June","Thousand","286.2","24.8","231.7","34.9","42.3","619.9"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2023M07","2023 July","Thousand","276.3","26.7","260.4","41.2","45.6","650.2"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2023M08","2023 August","Thousand","297","45.7","295.9","36.6","62.3","737.6"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2023M09","2023 September","Thousand","269.9","46.9","210.1","28.2","26.9","582.1"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2023M10","2023 October","Thousand","266","30.4","218.2","30.1","32.6","577.4"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2023M11","2023 November","Thousand","208.2","16.5","182.4","17.4","23","447.5"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2023M12","2023 December","Thousand","180.5","11.8","203.8","15.7","33.5","445.2"
"ITM05C01","Number of Overnight Trips by Foreign Visitors","2024M01","2024 January","Thousand","162.8","11.3","246.3","14.3","17.2","451.9"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2023M04","2023 April","%","39.4","3.3","47.7","5.7","3.9","100"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2023M05","2023 May","%","40.8","4.5","42.2","5.4","7.1","100"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2023M06","2023 June","%","46.2","4","37.4","5.6","6.8","100"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2023M07","2023 July","%","42.5","4.1","40.1","6.3","7","100"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2023M08","2023 August","%","40.3","6.2","40.1","5","8.5","100"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2023M09","2023 September","%","46.4","8.1","36.1","4.9","4.6","100"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2023M10","2023 October","%","46.1","5.3","37.8","5.2","5.7","100"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2023M11","2023 November","%","46.5","3.7","40.8","3.9","5.1","100"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2023M12","2023 December","%","40.5","2.6","45.8","3.5","7.5","100"
"ITM05C02","Percentage of Overnight Trips by Foreign Visitors","2024M01","2024 January","%","36","2.5","54.5","3.2","3.8","100"
"ITM05C03","Number of Nights by Foreign Visitors","2023M04","2023 April","Thousand","803.4","88.5","1904.8","387","483.8","3667.5"
"ITM05C03","Number of Nights by Foreign Visitors","2023M05","2023 May","Thousand","1148","171","1703.4","363.2","1090.4","4476.1"
"ITM05C03","Number of Nights by Foreign Visitors","2023M06","2023 June","Thousand","1497.1","235.7","1938.6","328.7","518.2","4518.2"
"ITM05C03","Number of Nights by Foreign Visitors","2023M07","2023 July","Thousand","1455.3","220.5","2661.7","475.7","830.7","5643.8"
"ITM05C03","Number of Nights by Foreign Visitors","2023M08","2023 August","Thousand","1691","471.1","3767.2","437.5","970.8","7337.7"
"ITM05C03","Number of Nights by Foreign Visitors","2023M09","2023 September","Thousand","1474.7","377.7","2103.7","334.6","359.1","4649.8"
"ITM05C03","Number of Nights by Foreign Visitors","2023M10","2023 October","Thousand","1299.5","200.1","1755.4","311","392.2","3958.2"
"ITM05C03","Number of Nights by Foreign Visitors","2023M11","2023 November","Thousand","819","89.4","1533.1","244.2","396.7","3082.3"
"ITM05C03","Number of Nights by Foreign Visitors","2023M12","2023 December","Thousand","716.8","74.2","1482.2","356.1","1875.1","4504.3"
"ITM05C03","Number of Nights by Foreign Visitors","2024M01","2024 January","Thousand","571.2","61.3","2684.4","239.4","257.5","3813.8"
"ITM05C04","Percentage of Nights by Foreign Visitors","2023M04","2023 April","%","21.9","2.4","51.9","10.6","13.2","100"
"ITM05C04","Percentage of Nights by Foreign Visitors","2023M05","2023 May","%","25.6","3.8","38.1","8.1","24.4","100"
"ITM05C04","Percentage of Nights by Foreign Visitors","2023M06","2023 June","%","33.1","5.2","42.9","7.3","11.5","100"
"ITM05C04","Percentage of Nights by Foreign Visitors","2023M07","2023 July","%","25.8","3.9","47.2","8.4","14.7","100"
"ITM05C04","Percentage of Nights by Foreign Visitors","2023M08","2023 August","%","23","6.4","51.3","6","13.2","100"
"ITM05C04","Percentage of Nights by Foreign Visitors","2023M09","2023 September","%","31.7","8.1","45.2","7.2","7.7","100"
"ITM05C04","Percentage of Nights by Foreign Visitors","2023M10","2023 October","%","32.8","5.1","44.3","7.9","9.9","100"
"ITM05C04","Percentage of Nights by Foreign Visitors","2023M11","2023 November","%","26.6","2.9","49.7","7.9","12.9","100"
"ITM05C04","Percentage of Nights by Foreign Visitors","2023M12","2023 December","%","15.9","1.6","32.9","7.9","41.6","100"
"ITM05C04","Percentage of Nights by Foreign Visitors","2024M01","2024 January","%","15","1.6","70.4","6.3","6.8","100"
"ITM05C05","Average Length of Stay of Foreign Visitors","2023M04","2023 April","Nights per trip","4.4","5.8","8.6","14.7","26.7","7.9"
